label	sample
拒绝交费	20，现在没钱
拒绝交费	没钱
拒绝交费	没有那个钱
拒绝交费	因为你们租客，你现在如果说已经到那个停掉的，你，把它停掉，我跟那个那边的人联系，你们可以把它停掉了，如果他们下次再这样不交，你就给他直接停掉，把电停掉
拒绝交费	没钱没钱，怎么，对
拒绝交费	不，我不交了
拒绝交费	你好，对这边没交钱了
拒绝交费	没有钱没有钱
拒绝交费	没有，什么什么是别烦我
拒绝交费	对银行没有没有钱了
拒绝交费	我没钱怎么办呢
拒绝交费	就是我没钱了，现在没钱，你
拒绝交费	没钱没钱
拒绝交费	没有钱，我说没有钱交电费
拒绝交费	没有一个钱
拒绝交费	你好，那他窃取好了，那他窃取你停掉，谢谢你把停掉好了这个电费不交了，停掉好了，不要了，他车库你收去吧，我不要了，拜拜
拒绝交费	我说不交
拒绝交费	你好，不交了
拒绝交费	不交了
拒绝交费	没钱
拒绝交费	没有没钱，对，我是音电话
拒绝交费	我没钱了
拒绝交费	好的，总共在不交，你就停掉好了
拒绝交费	小弟现在全都不交了
拒绝交费	不用交了，我不交
拒绝交费	我没钱，我买不起
拒绝交费	我不交呢
拒绝交费	你电费不交
拒绝交费	没有没有钱
拒绝交费	没有钱
拒绝交费	对，好的，你们不要催的，我不交的
拒绝交费	是，我说不交的话，就把电费掐断，不要共进了好吗
拒绝交费	我说没有钱交电费
拒绝交费	不交，可以给他停掉
拒绝交费	没钱
拒绝交费	没有钱
拒绝交费	没钱，好拜
拒绝交费	好不好，那我可爱，我不交的，现在这个
拒绝交费	上，上次跟你说了吗，你给我停掉，我也不交了
拒绝交费	好，你用我的逼，我说不交了
拒绝交费	不交了，我叫你停电好了，不用交了
拒绝交费	没钱的呀
拒绝交费	直接把我再停电停掉好了，对对不交
拒绝交费	因为你们租客，你现在如果说已经到那个停掉的，你，把它停掉，我跟那个那边的人联系，你们可以把它停掉了，如果他们下次再这样不交，你就给他直接停掉，把电停掉
拒绝交费	你好，那他窃取好了，那他窃取你停掉，谢谢你把停掉好了这个电费不交了，停掉好了，不要了，他车库你收去吧，我不要了，拜拜
拒绝交费	上个月月底产生的，我知道你月底产生，我们，我们的电费不能直接交给你们了呀
拒绝交费	好的，总共在不交，你就停掉好了
拒绝交费	对，好的，你们不要催的，我不交的
已还清	没有没有，没有，我们，我们，我们已经把这个钱已经存进去了，好好好
已还清	我支付宝登录不交，他说我已经交了
已还清	那我俩次不交了，我都交的呀，今年还几号呀
已还清	这个电费不交掉了
已还清	照片发给你红包，你好，我不交进去了吗
已还清	我就不交掉了吗
已还清	不交费，已经交了
已还清	那个姐姐，没有照，叫，我又贴了，我说我点的早就交完了，没有钱呢
已还清	我不是交了，那电费不是只不交了，我才进去了
已还清	你好，没交吗，不交了吗
已还清	不交了嘛，电费已经
已还清	怎么了没付钱我，我不是付掉了
已还清	他说，你好，好像我们就说这电费不交掉了
已还清	别的不交掉了嘛，别人不交掉了嘛
已还清	对，不交代会交的
已还清	对呀，房电费怎么会签了就就那个上个月不交得了
已还清	见，电费我不交了，我上午就交了吗
已还清	电梯不交了吗
已还清	我好像不交了吧，我交了
已还清	我这里仓库没钱赔了，好的，好的你不要打了，我这块的已经查过了，没欠费的
已还清	我不交了吗
已还清	我没欠你们，钱你你三天两头个想睡觉对
已还清	你好，已经交好了
已还清	我已经加了呀，今天交了呀
已还清	已经交过了，已经交过了
已还清	酒店里，我那个网上已经交掉了那个城市，服务里面上次有电话打过来，然后城市服务里面已经交掉了呀，支付了呀
已还清	我那个网上已经交掉了那个城市，服务里面上次有电话打过来，然后城市服务里面已经交掉了呀，支付了呀，你再去看一下好吧，你去看一下哈，谢谢
已还清	你好，我今天已经交了呀
已还清	2024，我不是交了吗
已还清	工业公司，去敲掉了，已经交掉就好了
已还清	已经交掉就好了
已还清	刚刚刚交过，刚刚交过吗，好像姓李
已还清	他现在这一支付宝已经交掉了，人家店里诶
已还清	不要说了，已经交掉了呀
已还清	我加进去了
已还清	我说我们已经交进去了
已还清	没有没有，没有，我们，我们，我们已经把这个钱已经存进去了，好好好
已还清	不是已经交清了吗
已还清	听你，你等一下，你帮我看一下，因为8月1号的8月前几号，他们已经交清了这些天，都是没有人在住的，所以如果已经交清了，是不可能欠费的
已还清	听你，你等一下，你帮我看一下，因为8月1号的8月前几号，他们已经交清了这些天，都是没有人在住的，所以如果已经交清了，是不可能欠费的，你核实一下，然后再打打给我
已还清	不是交了吗，有个你在那拿的吃了呗
已还清	我已经交了，等下
已还清	你好，你好，我已经交过了呀
已还清	我已经交掉了呀
已还清	我已经交掉了呀
已还清	他他，他，他说已经交了吧
已还清	我交了我交了
已还清	不是上次不是交了吗，二十几块钱
已还清	我交了
已还清	那结束，我会已经交了呀
已还清	我也不知道，他之前有交过了吗，不是
已还清	就交掉了
已还清	要是电费，不是交了吗
已还清	我已经交了，刚才已经交了
已还清	交了，今天已经交了
已还清	交了，没有
已还清	已经交了，刚刚交的
已还清	我已经交了嘛
已还清	已经交了
已还清	已经转进去了
已还清	已经转进去了，亲
已还清	公交了上午已经销售
已还清	我因为这个金额不是我，我定位，不是这个那个，我已经交了吗
已还清	你好，昨天没交吗
已还清	我早上交了
已还清	我已经充进去了
已还清	我已经充进去了
已还清	充好了
已还清	毕竟，我已经交掉了吗
已还清	已经交了，已经交了他，他说定好了呗
已还清	已经交了，已经交了他，他说定好了呗，那天说什么，今天就好嘞
已还清	已经交了
已还清	对，我已经打进去了呢
已还清	我，我已经交了，我昨天充了1000了
已还清	对，我已经交了
已还清	你好，怎么会呀，我不是交钱了吗
已还清	怎么会呀，我不是交钱了吗，天呐，我不是交钱
已还清	我那个金额已经交了，我又续费
已还清	你好，我亲，你不是已经交进去了吗
已还清	我支付宝登录不交，他说我已经交了
已还清	你好，已经交了
已还清	你好，已经交了吗
已还清	好的，好的，好的，好的，好的，好的已经交过了呢
已还清	还过了那个
已还清	我，我昨天，我昨天交掉了
已还清	我们不是交了吗
已还清	我已经交了呀
已还清	就是我已经交了
已还清	你好，已经付了呀
已还清	我们是从还是前进交掉了
已还清	你就，我刚刚交过，刚刚交过了
已还清	不是，我已经交去了这个在卡上，你这就是这个好嘞，对不对了，我已经交掉了我11号就交掉了电费
已还清	还你还了
已还清	我昨天已经交掉了，好像昨天不是昨天前天交掉了嘛
已还清	今天交了叫掉了，今天交了
已还清	交过了交过了
已还清	我已经付了
已还清	我说上个月电费不是交掉了吗
已还清	我已经交掉了那个电费
已还清	我已经交清交掉了呀
已还清	我缴了我缴你，这还有百多块钱了，还要交费的
已还清	你好，我交掉了呀，我已经交了
已还清	对呀，我今天交掉了
已还清	刚交到了吗，不是刚才已经交掉了吗
已还清	那每个每天都不停的催缴电费，这是只要我月初交完了，然后每天用起来难道都要催缴吗
已还清	全部弄好了你天天，还说这么
已还清	6068元，不是3号一起交的吗，我们上次交过了吗，每次都是3号交的呀
已还清	我都交掉了，怎么会欠费呀
已还清	在银行里面去扣好了，交了够了够了
已还清	不是已经交了吧
已还清	我已经交掉了
已还清	我已经交掉了，好的，谢谢
已还清	什么事情，好的，那我电费我早上就交了
已还清	需要，我昨天晚上我儿子交的了吗
已还清	你好，已经交过了呀
已还清	你好，你讲，14号的房子，电费，的，对，我跟你说呀，我叫叫我怎么只在代扣中呀，我是交过了
已还清	我是从支付宝交过来，昨天他才是正在代扣中，所以我没交交不进去
已还清	现在都要谢谢你，跟他票刚刚付了
已还清	我借呗不是交过了吗
已还清	交了呀
已还清	不是，我已经交了200元钱的嘞，我已经昨天打进去200元钱的嘛
已还清	知道了，我会提交了不要吵，我在干活上班没
已还清	好的好的，好的，我们，我们交了
已还清	你好，不错的，我已经交过了
已还清	我是15号交15号，已经交过了
已还清	在家的交掉的
已还清	我电费已经交掉了500多，还交掉了
已还清	我已经交了呀
已还清	你好，说，交掉了
已还清	他已经交了
已还清	对，我已经交进去了呀
已还清	我们是交了
已还清	交了给他，就这样掉了
已还清	交了交了
已还清	钉钉不是交了吗
已还清	我说到七号叫交清了
已还清	你好，已经交了，已经交了
已还清	其实已经交好了
已还清	我说了后天我因为我这两天没直接的，因为你叫我去我这个没有时间的呀，后天我可以去交了
已还清	我已经交掉了吗，先生
已还清	你好，我已经付掉了嘛，好像交掉了嘛
已还清	我跟你说呀，我上一次已经是交过了这个平台，他们交不进去
已还清	已经交掉了
已还清	他叫交进去了
已还清	330，331也上午，教会我已经交了
已还清	你好，你已经交了呀，我老婆
已还清	我昨天已经去，我昨天已经去交了
已还清	我昨天已经提交了
已还清	不是已经交了吗
已还清	已经交好了，已经交过了
已还清	我已经交好了呀
已还清	一个月不到嘛，我还用卡的，交了我交了
已还清	我已经交掉了，好像
已还清	我说我的店名是每次25号，之前都交清的
已还清	我到邮局去交掉了
已还清	前面我前面，我打20号交掉满了嘛，20号20号，掉的差不多
已还清	是不是他电费已经交过了，请你充
已还清	你好，交了呀，我交了
已还清	我们交了呀
已还清	早上买去缴了嘛
已还清	在交掉了三个交掉
已还清	你好，我女儿交掉了嘛，那那个叫叫叫
已还清	我交过了
已还清	我的，我已经交了
已还清	大概是十三四号，我老婆已经上银行交过了呀，你查一下，没交进去吗
已还清	我早上已经扣了的
已还清	就是我们已经交的那个
已还清	我，我已经交了
已还清	我交了的，我坚决在找呢
已还清	我早上交了的电费，刚刚才缴，早上就交了
已还清	对，410分，业务交进去了嘛，好像
已还清	不是已经交过了吗
已还清	我的刚刚交过了，怎么又要交了
已还清	哼，我已经交过了
已还清	我怎么加我没文化的我交过来了，对
已还清	我昨天，我昨天跟他打电话过来，他说，我，我给你下午去交
已还清	刷卡交了
已还清	你已经交过了呀
已还清	我办，我交掉了
已还清	我交掉了
已还清	移交了，已经交了
已还清	我已经今年交进去的
已还清	不是已经交了吗
已还清	今天，今天已经交了
已还清	我说我上午已经交掉了
已还清	对，他的电费，上次我打电话给他，说了他说交了呀
已还清	那什么，要，花呗，那个邮箱号是做被骗了，不能忘这里，那他不，我不是交掉了吗，我不是交掉了嘛，我不是交掉了吗
已还清	减肥，我交过了
已还清	能交过了呀，今早我，还看了没有欠费呀
已还清	我，我已经缴了今天已经交了
已还清	你好，已经交了
已还清	我不是交过了吗
已还清	我交了，今天
已还清	我电费已经付了
已还清	我已经付了
已还清	我已经交过了
已还清	你好，我交了
